"id","code","name"
edu_career_object_1,11016,CIENCIAS DE LA ADMINISTRACION AEROESPACIAL
edu_career_object_2,21016,ADMINISTRACIÓN Y CIENCIAS POLICIALES
edu_career_object_3,11026,CIENCIAS MILITARES
edu_career_object_4,11036,CIENCIAS ADMINISTRATIVAS MARÍTIMAS
edu_career_object_5,21015,ADMINISTRACIÓN Y CIENCIAS POLICIALES
edu_career_object_6,11055,FUERZAS ESPECIALES
edu_career_object_7,11115,SEGURIDAD E INSTRUCCIÓN MILITAR
edu_career_object_8,11045,DEFENSA AÉREA
edu_career_object_9,531015,AEROFOTOGRAFÍA
edu_career_object_10,414015,METEOROLOGÍA
edu_career_object_11,525025,ELECTRONICA AERONÁUTICA
edu_career_object_12,526045,MANTENIMIENTO DE AERONAVES
edu_career_object_13,331025,ADMINISTRACIÓN
edu_career_object_14,11075,INTELIGENCIA
edu_career_object_15,512025,SISTEMAS DE TELECOMUNICACIONES
edu_career_object_16,441125,INFORMÁTICA
edu_career_object_17,526055,MANTENIMIENTO DE ESTRUCTURAS
edu_career_object_18,526095,"MANTENIMIENTO DE MOTORES, HÉLICES Y UNIDADES DE POTENCIA AUXILIAR"
edu_career_object_19,526115,MANTENIMIENTO Y OPERACIÓN DE ARMAMENTO Y EQUIPOS AUXILIARES
edu_career_object_20,526105,"MANTENIMIENTO DE EQUIPOS DE APOYO TERRESTRE, VEHÍCULOS MOTORIZADOS Y CONTRAINCENDIO"
edu_career_object_21,531025,CONSTRUCCIÓN CIVIL
edu_career_object_22,342075,FINANZAS
edu_career_object_23,331015,ABASTECIMIENTO
edu_career_object_24,714035,ENFERMERÍA TÉCNICA
edu_career_object_25,716015,FARMACIA
edu_career_object_26,224045,MÚSICA
edu_career_object_27,524015,ELECTRICIDAD
edu_career_object_28,525015,ELECTRÓNICA
edu_career_object_29,714035,ENFERMERÍA TÉCNICA
edu_career_object_30,11015,ARMAS SUBMARINAS
edu_career_object_31,11025,ARTILLERÍA
edu_career_object_32,11035,CAPITANÍA Y GUARDACOSTAS
edu_career_object_33,413015,HIDROGRAFÍA Y NAVEGACIÓN
edu_career_object_34,11065,INFANTERÍA DE MARINA
edu_career_object_35,11075,INTELIGENCIA
edu_career_object_36,11085,MANIOBRAS
edu_career_object_37,526125,MÁQUINAS NAVALES
edu_career_object_38,526145,MECÁNICA AERONAVAL
edu_career_object_39,526205,MOTORES
edu_career_object_40,11095,OPERACIONES ESPECIALES
edu_career_object_41,11105,POLICÍA NAVAL
edu_career_object_42,441145,PROCESAMIENTO DE DATOS
edu_career_object_43,337025,SECRETARIADO EJECUTIVO
edu_career_object_44,11125,MANUEL JESUS DIAZ MURRUGARRA
edu_career_object_45,512075,MANUEL MESONES MURO - MASTER SYSTEM
edu_career_object_46,714035,MANUEL NUÑEZ BUTRON
edu_career_object_47,526135,MANUEL SCORZA TORRE
edu_career_object_48,526165,MANUEL SEOANE CORRALES
edu_career_object_49,526085,MANUEL YARLEQUE ESPINOZA
edu_career_object_50,512065,MAÑAZO
edu_career_object_51,526185,MARCO
edu_career_object_52,526035,MARIA DE LOS ANGELES CIMAS
edu_career_object_53,611035,MARIA ELENA MOYANO
edu_career_object_54,321015,MARIA MONTESSORI
edu_career_object_55,331025,MARIA PARADO DE BELLIDO-HUAMANGA
edu_career_object_56,224045,MARIA PARADO DE BELLIDO-SAN MARTIN
edu_career_object_57,332125,MARIA ROSARIO ARAOZ PINTO
edu_career_object_58,441095,MARIANO BONIN
edu_career_object_59,531055,MARIANO IBERICO RODRIGUEZ
edu_career_object_60,223015,MARIO GUTIERREZ LOPEZ
edu_career_object_61,121065,MARIO SAMAME BOGGIO
edu_career_object_62,225015,MARISCAL DOMINGO NIETO
edu_career_object_63,222115,MARISCAL RAMON CASTILLA
edu_career_object_64,225025,MASISEA
edu_career_object_65,222075,MASTER BYTE
edu_career_object_66,221015,MASTER'S
edu_career_object_67,151015,MATRIX
edu_career_object_68,221015,MAX PLANCK
edu_career_object_69,151015,MAYSA
edu_career_object_70,221035,MEGATRONIC
edu_career_object_71,221015,MESETA DE BOMBON
edu_career_object_72,151015,METROPOLITANO
edu_career_object_73,151015,MI PERU
edu_career_object_74,221015,MISIONEROS MONFORTIANOS
edu_career_object_75,151015,MODERN SYSTEMS
edu_career_object_76,221015,MONSEFU
edu_career_object_77,151045,MONSEÑOR JULIO GONZALES RUIZ
edu_career_object_78,224045,MONTESSORI
edu_career_object_79,221015,MORROPON
edu_career_object_80,224045,MOTUPE
edu_career_object_81,224015,MOYOBAMBA
edu_career_object_82,151045,MUCHIK
edu_career_object_83,224035,MUÑANI
edu_career_object_84,224065,NACIONES UNIDAS
edu_career_object_85,222095,NARANJILLO
edu_career_object_86,222125,NARCISO VILLANUEVA MANZO
edu_career_object_87,151045,NASCA
edu_career_object_88,224045,NAZARET
edu_career_object_89,151015,NESTOR SAMUEL MARTOS GARRIDO
edu_career_object_90,221015,NICANOR MUJICA ALVAREZ CALDERON
