"id","code","name"
edu_name_object_1,181000003,"ESCUELA DE OFICIALES DE LA FUERZA AÉREA DEL PERÚ. CAPITAN FAP ""JOSÉ QUIÑONES GONZALES"""
edu_name_object_2,181000004,ESCUELA DE OFICIALES DE LA POLICÍA NACIONAL DEL PERÚ
edu_name_object_3,181000001,"ESCUELA MILITAR DEL PERÚ ""CORONEL FRANCISCO BOLOGNESI"""
edu_name_object_4,181000002,ESCUELA NAVAL DEL PERÚ
edu_name_object_5,182000004,ESCUELA TECNICA SUPERIOR DE LA POLICIA NACIONAL DEL PERÚ
edu_name_object_6,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ
edu_name_object_7,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN
edu_name_object_8,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO
edu_name_object_9,170209858,ACAD. MUSICA Y DANZAS
edu_name_object_10,271114933,ANTONIO RUIZ DE MONTOYA
edu_name_object_11,171114776,ARTE DRAMÁTICO “GUILLERMO UGARTE CHAMORRO”
edu_name_object_12,271468180,ARTE NEGOCIOS Y TECNOLOGIA
edu_name_object_13,171061894,BELLAS ARTES “DIEGO QUISPE TITO” CALCA
edu_name_object_14,171062439,BELLAS ARTES “DIEGO QUISPE TITO” DEL CUSCO
edu_name_object_15,170326108,BELLAS ARTES DEL PERU-LIMA
edu_name_object_16,171061928,BELLAS ARTES DQT FILIAL CANCHIS
edu_name_object_17,170702829,BELLAS ARTES MACEDONIO DE LA TORRE
edu_name_object_18,170695528,CARLOS BACA FLOR
edu_name_object_19,170394098,CARLOS VALDERRAMA
edu_name_object_20,171637859,CHABUCA GRANDA
edu_name_object_21,170326124,CONSERVATORIO NACIONAL DE MÚSICA
edu_name_object_22,271124031,CORRIENTE ALTERNA
edu_name_object_23,170673061,DANIEL ALOMÍA ROBLES
edu_name_object_24,170699702,DE FORMACION ARTISTICA-HUARAZ
edu_name_object_25,170817544,EDUARDO MEZA SARAVIA
edu_name_object_26,171130210,ERNESTO LÓPEZ MINDREAU
edu_name_object_27,170326132,NACIONAL DE BALLET
edu_name_object_28,171345198,ESCUELA NACIONAL SUPERIOR AUTONOMA DE BELLAS ARTES DEL PERU-CHACHAPOYAS
edu_name_object_29,170768630,ESCUELA SUPERIOR DE FORMACION ARTISTICA-BAGUA
edu_name_object_30,170419960,ESCUELA SUPERIOR DE MUSICA CONDORCUNCA
edu_name_object_31,170419978,FELIPE GUAMÁN POMA DE AYALA
edu_name_object_32,170925057,FORMACION ARTISTICA-TARMA
edu_name_object_33,171125723,FRANCISCO LASO
edu_name_object_34,170886549,FRANCISCO PÉREZ ANAMPA
edu_name_object_35,270920231,GUDELIA ALARCO DE VARGAS
edu_name_object_36,171187368,IGNACIO MERINO DE PIURA
edu_name_object_37,271114578,JOSAFAT ROEL PINEDA
edu_name_object_38,171114693,JOSÉ MARÍA ARGUEDAS
edu_name_object_39,170702605,JOSÉ MARÍA VALLE RIESTRA
edu_name_object_40,170702837,JULIACA
edu_name_object_41,170285973,LEANDRO ALVIÑA
edu_name_object_42,171148485,LORENZO LUJAN DARJON
edu_name_object_43,170695536,LUIS DUNCKER LAVALLE
edu_name_object_44,170696005,MARIO URTEAGA ALVARADO
edu_name_object_45,171027564,MOHO
edu_name_object_46,171025584,PILCUYO
edu_name_object_47,170240135,PUNO
edu_name_object_48,170276352,REG BELLAS ARTES ICA
edu_name_object_49,270920488,RICHARD WAGNER
edu_name_object_50,170679746,SÉRVULO GUTIÉRREZ ALARCÓN DE ICA
edu_name_object_51,271123488,THEODORO VALCARCEL CABALLERO
edu_name_object_52,170685164,VICTOR MOREY PEÑA
edu_name_object_53,170394106,VIRGILIO RODRÍGUEZ NACHE
edu_name_object_54,150653592,13 DE JULIO DE 1882
edu_name_object_55,150921015,ACOLLA
edu_name_object_56,150932475,ACOMAYO
edu_name_object_57,151093152,AGUSTÍN BOCANEGRA Y PRADA
edu_name_object_58,151545623,ALIANZA ICHUÑA BÉLGICA
edu_name_object_59,150642090,ANTENOR ORREGO
edu_name_object_60,150695452,AREQUIPA
edu_name_object_61,150391169,ARÍSTIDES MERINO MERINO
edu_name_object_62,151273911,AYAVIRI
edu_name_object_63,150630558,AZÁNGARO
edu_name_object_64,150811489,CACHICADÁN
edu_name_object_65,151141795,CARLOS MEDRANO VÁSQUEZ
edu_name_object_66,151150739,CAYETANO ARDANZA
edu_name_object_67,150708164,CÉSAR ABRAHAM VALLEJO MENDOZA
edu_name_object_68,150686618,CHIMBOTE
edu_name_object_69,150608299,CHINCHA
edu_name_object_70,150644807,CHIQUIÁN
edu_name_object_71,150638130,CIRO ALEGRÍA BAZAN
edu_name_object_72,150932392,COYLLURQUI
edu_name_object_73,150690388,DAVID SÁNCHEZ INFANTE
edu_name_object_74,151096924,DE PICOTA
edu_name_object_75,151078880,DE UCHIZA
edu_name_object_76,151000694,DEL SANTA
edu_name_object_77,150932665,DIVINO JESÚS (ANTES SANTO TOMAS)
edu_name_object_78,151193259,EDISLAO MERA DÁVILA
edu_name_object_79,150630616,EDUCACIÓN FÍSICA LAMPA
edu_name_object_80,150688069,EDUCACIÓN FÍSICA-HUANCAVELICA
edu_name_object_81,151065416,EMILIA BARCIA BONIFFATTI
edu_name_object_82,150653584,FIDEL ZÁRATE PLASENCIA
edu_name_object_83,150637116,FILIBERTO GARCÍA CUELLAR
edu_name_object_84,151160191,FRAY ÁNGEL JOSÉ AZAGRA MURILLO
